epoch,train_loss,test_loss
0,2.556504454,2.169420744
1,2.0326651,2.03686953
2,1.954719727,1.975926596
3,1.912521013,1.957608653
4,1.884381133,1.905208135
5,1.865934495,1.920308052
6,1.851419581,1.930537961
7,1.839227918,1.911385264
8,1.829982029,1.883826238
9,1.820384436,1.855309351
10,1.806819668,1.856213376
11,1.796583968,1.844371696
12,1.789084319,1.83809131
13,1.781544931,1.837293915
14,1.775258421,1.841320791
15,1.771417641,1.819895899
16,1.766356575,1.817425619
17,1.761538303,1.807459445
18,1.757156241,1.826337297
19,1.754947919,1.81212841
20,1.752436148,1.812090512
21,1.748857932,1.817333511
22,1.74674892,1.823732987
23,1.74385472,1.804258997
24,1.741411282,1.815101216
25,1.738868015,1.805165614
26,1.737541411,1.808119251
27,1.735333165,1.803526646
28,1.732974967,1.80560821
29,1.732008173,1.811987179
30,1.729420716,1.809229741
31,1.728539664,1.797601756
32,1.727189007,1.800685504
33,1.725413856,1.80638603
34,1.724704881,1.813678291
35,1.723672074,1.806155348
36,1.722312005,1.82105938
37,1.721103614,1.817959273
38,1.719393258,1.814444373
39,1.71912354,1.801796954
40,1.718483016,1.807292648
41,1.71674287,1.803958236
42,1.716013709,1.801363458
43,1.714587233,1.807474299
44,1.713771764,1.817377693
45,1.713257889,1.793295721
46,1.712240832,1.796143716
47,1.712069541,1.796648298
48,1.710713838,1.796980983
49,1.709710209,1.78746356
50,1.708756364,1.800271317
51,1.70860111,1.81304392
52,1.708762537,1.799750926
53,1.70697288,1.803188699
54,1.70686584,1.799988414
55,1.706153923,1.817014153
56,1.705576981,1.796448648
57,1.704626952,1.805619968
58,1.70449163,1.792580375
59,1.703205846,1.794222591
60,1.702831998,1.780214771
61,1.702896777,1.812413403
62,1.70118947,1.78482772
63,1.701538421,1.796845082
64,1.700951723,1.802366321
65,1.700176698,1.811486846
66,1.700568389,1.826692335
67,1.699262634,1.792650042
68,1.698896149,1.80537677
69,1.699051981,1.790916277
70,1.698460554,1.800448776
71,1.698051962,1.801292452
72,1.697307885,1.796087202
73,1.697079377,1.795582132
74,1.696557528,1.797194442
75,1.696047383,1.814421843
76,1.695693801,1.789849775
77,1.695603782,1.789857273
78,1.69460607,1.794881682
79,1.694972797,1.804042215
80,1.694163427,1.806437481
81,1.69309484,1.788092271
82,1.693321162,1.808690438
83,1.692964139,1.810620938
84,1.692747108,1.796773349
85,1.692404668,1.799442819
86,1.691965013,1.806932206
87,1.691733591,1.810873481
88,1.691718481,1.807992892
89,1.691981128,1.804992649
90,1.690536439,1.795061098
91,1.689569784,1.792240623
92,1.689596035,1.790737328
93,1.690717987,1.797381727
94,1.689757593,1.803902713
95,1.689191725,1.811322439
96,1.688736219,1.809999681
97,1.689250068,1.807404234
98,1.689006469,1.801404731
99,1.688415122,1.821543873
